trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
7127732760651522,12:52:00,12:52:00,2539,1,,
7127732760651522,12:53:00,12:53:00,2393,2,,
7127732760651522,12:55:00,12:55:00,2463,3,,
7127732760651522,12:56:00,12:56:00,2430,4,,
7127732770651522,10:17:00,10:17:00,2539,1,,
7127732770651522,10:18:00,10:18:00,2393,2,,
7127732770651522,10:20:00,10:20:00,2463,3,,
7127732770651522,10:21:00,10:21:00,2430,4,,
7227732720651522,14:11:00,14:11:00,2539,1,,
7227732720651522,14:12:00,14:12:00,2393,2,,
7227732720651522,14:14:00,14:14:00,2463,3,,
7227732720651522,14:15:00,14:15:00,2430,4,,
7227732730651522,11:27:00,11:27:00,2539,1,,
7227732730651522,11:28:00,11:28:00,2393,2,,
7227732730651522,11:30:00,11:30:00,2463,3,,
7227732730651522,11:31:00,11:31:00,2430,4,,
7227732740651522,10:17:00,10:17:00,2539,1,,
7227732740651522,10:18:00,10:18:00,2393,2,,
7227732740651522,10:19:00,10:19:00,2463,3,,
7227732740651522,10:20:00,10:20:00,2430,4,,
7227732750651522,12:58:00,12:58:00,2539,1,,
7227732750651522,12:59:00,12:59:00,2393,2,,
7227732750651522,13:00:00,13:00:00,2463,3,,
7227732750651522,13:01:00,13:01:00,2430,4,,
7227732760651522,12:58:00,12:58:00,2539,1,,
7227732760651522,12:59:00,12:59:00,2393,2,,
7227732760651522,13:00:00,13:00:00,2463,3,,
7227732760651522,13:01:00,13:01:00,2430,4,,
7227732770651522,10:21:00,10:21:00,2539,1,,
7227732770651522,10:22:00,10:22:00,2393,2,,
7227732770651522,10:24:00,10:24:00,2463,3,,
7227732770651522,10:25:00,10:25:00,2430,4,,
727732720651522,06:24:00,06:24:00,2539,1,,
727732720651522,06:25:00,06:25:00,2393,2,,
727732720651522,06:27:00,06:27:00,2463,3,,
727732720651522,06:28:00,06:28:00,2430,4,,
727732730651522,06:10:00,06:10:00,2539,1,,
727732730651522,06:11:00,06:11:00,2393,2,,
727732730651522,06:12:00,06:12:00,2463,3,,
727732730651522,06:13:00,06:13:00,2430,4,,
727732740651522,06:05:00,06:05:00,2539,1,,
727732740651522,06:06:00,06:06:00,2393,2,,
727732740651522,06:07:00,06:07:00,2463,3,,
727732740651522,06:08:00,06:08:00,2430,4,,
727732750651522,06:14:00,06:14:00,2539,1,,
727732750651522,06:15:00,06:15:00,2393,2,,
727732750651522,06:16:00,06:16:00,2463,3,,
727732750651522,06:17:00,06:17:00,2430,4,,
727732760651522,06:14:00,06:14:00,2539,1,,
727732760651522,06:15:00,06:15:00,2393,2,,
727732760651522,06:16:00,06:16:00,2463,3,,
727732760651522,06:17:00,06:17:00,2430,4,,
727732770651522,06:05:00,06:05:00,2539,1,,
727732770651522,06:06:00,06:06:00,2393,2,,
727732770651522,06:07:00,06:07:00,2463,3,,
727732770651522,06:08:00,06:08:00,2430,4,,
7327732720651522,14:16:00,14:16:00,2539,1,,
7327732720651522,14:17:00,14:17:00,2393,2,,
7327732720651522,14:19:00,14:19:00,2463,3,,
7327732720651522,14:20:00,14:20:00,2430,4,,
7327732730651522,11:32:00,11:32:00,2539,1,,
7327732730651522,11:33:00,11:33:00,2393,2,,
7327732730651522,11:34:00,11:34:00,2463,3,,
